Ep.,구분,이름,메뉴,계절,시/도,군/구,지번,전화번호,비고,Filter
Ep.0 Pilot,맛집,테라로사,커피,,강원,강릉,구정면 어단리 973-1,033-648-2760,너무 유명해짐.,1
Ep.0 Pilot,맛집,전광수 커피하우스 명동점,커피,,서울,중,남산동2가 15-11,02-778-0675,,1
Ep.0 Pilot,음식 인문학,imi,카페,,서울,마포,동교동 201-10,02-6368-5228,"http://hovoo.blog.me/
케익, 오렌지 빙수도 추천.",1
Ep.0 Pilot,맛집,용금옥,추어탕(서울식),,서울,중,다동 165-1,02-777-1689,"서울식, 통 미꾸라지에 사골 또는 곱창이나 내장으로 국물을 내어 고춧가루를 첨가한 형태.
1932년부터 영업.",1
Ep.0 Pilot,맛집,곰보추탕,추어탕(서울식),,서울,동대문,용신동 767-6,02-928-5435,,1
Ep.0 Pilot,맛집,형제추어탕,추어탕(서울식),,서울,종로,평창동 281-1,02-919-4455,,1
Ep.0 Pilot,맛집,대중옥,선지(찰선지),,서울,강남,역삼동 834-4,02-2293-2322,추어탕도 유명함.,1
Ep.0 Pilot,맛집,정동집(남도식당),추어탕(남원식),,서울,중,정동 11-4,02-773-7888,경향 신문사 맞은편,1
Ep.0 Pilot,맛집,새집추어탕,추어탕(남원식),,전북,남원,천거동 160-206,063-625-2443,"전라도(남원)식, 들깨 즙을 사용하여 뻑뻑하고 질박한 느낌.
전국에서 가장 유명한 집.",1
Ep.0 Pilot,맛집,부산집,추어탕(남원식),,전북,남원,천거동 160-163,063-632-7823,그날 그날 주방장 기분에 따라 맛이 미묘하게 달라짐.,1
Ep.0 Pilot,맛집,현식당,추어탕(남원식),,전북,남원,천거동 160-192,063-626-5163,남원 지역에서 후발 주자.,1
Ep.0 Pilot,맛집,원주복추어탕,추어탕(원주식),,강원,원주,개운동 406-13,033-763-7987,"강원도(원주)식, 미꾸라지를 통으로 넣고 고추장 베이스의 국물.",1
Ep.0 Pilot,이 집에 가라,상주식당,추어탕(경상도식),,대구,중,동성로2가 54-1,053-425-5924,"걸신 강추. 외관은 전형적인 경상도식이나 약간 퓨전됨.
자연산 미꾸라지와 노지배추를 사용하기 때문에 12월에서 2월까지 휴업함.
최근 약간 맛이 변한 기분이 든다고 함.",1
Ep.0 Pilot,맛집,의성식당,추어탕(경상도식),,경북,청도,청도읍 고수리 969-20,054-371-2349,경상도식. 붕어 및 잡어가 추가. 배추가 추가 되는 맑은 느낌.,1
Ep.01-1,맛집,긴자,카레(인도커리),,경기,군포,산본동 1136 한솔프라자 401호,031-392-2203,착한 식당으로 선정된 집. 조미료를 사용하지 않음.,1
Ep.01-1,걸신의 레시피,,,,,,,,모든 음식을 시작 할 때 올리브 오일에 마늘을 볶는다. [이종한],0
Ep.01-1,걸신의 레시피,,샤브샤브(삼겹살),,,,,,"다시마를 우려낸 육수. - 가장 중요.
정육점에서 샤브샤브용 또는 대패 삼겹살용으로 썰어온다.
기름에 부쳐 식힌 두부.
질 좋은 어묵.
알 배추 한포기.
표고/느타리 버섯.
마무리에 사용할 우동면.

양념장 :
푼 생계란
한번 끓인인 후 식힌 일본간장(기꼬망 또는 외간장도 가능)
계피가루
꿀 또는 조청 약간
땅콩 버터 (간장 계란과 1:1 비율)",0
Ep.01-1,걸신의 인문학,와인,포도,가을(백로),,,,,"성서에 모세가 포도를 키워 만들었다는 기록이 남아있으며 투탄카멘 왕의 무덤에서도 발견될 만큼 역사가 오래됨.
당분 + 효모 = 알콜 + 이산화탄소
포도의 겉에 뭍어 있는 흰색이 효모이기 때문에 가만히 놔두면 자연히 발효되게 되어있음.
하지만 정상적인 포도주가 되려면 포도의 당도가 22brix가 되어야함.
국내의 일반적인 포도는 16brix정도이기 때문에 추가적인 당분이 필요함.
한 병의 포도를 만들기 위해선 포도 1Kg정도가 필요.
우리나라는 타닌의 떫은맛에 익숙치 않아 호불호가 갈리지만 떫은맛이 와인의 등급을 결정하는 중요한 요소.
타닌은 천연 방부제 역활을 하기 때문에 와인을 장기 보관 할수 있게 함.
타닌의 떫은 맛은 유지방에 의해 완화되기 때문에 유제품과 함께 먹을때 어울림.
중국 요리 또한 기름을 많이 사용하기 때문에 와인의 떫은 맛을 완화시키는 역할을 함.
장기숙성으로 좋아지는 와인은 전체 와인의 1% 가량, 9%가량은 2~3년정도 보관 가능, 나머지는 식초로 산화될뿐이니 될수 있으면 1년안에 먹어 없애는게 좋음.
프리미엄 와인은 생산 단계에서 한정된 수량만을 전문가가 집중 관리하여 생산하기 때문에 비쌈.
마찬가지로 생산량과 품질 관리 수준에 따라 동일한 지역에서 같은 년도에 생산 되더라도 천차만별의 가격대를 형성함.
와인의 종주국은 이탈리아 이지만 상품화/브렌드화를 등안시해 2차대전 이후 프랑스에게 종주국 지위를 뺏김.
유럽산 와인은 기후의 영향으로 연도별로 가격차이가 크지만 호주, 남/북미는 기후 변동이 크지 않아 생산이 크게 증가함.
와인 생산 순위는 1위 프랑스, 2위 이탈리아, 3위 스페인 (재배면적은 스페인 1위), 4위 미국 (과거에는 벌크와인 정도만 생산 했으나 자본과 과학기술을 이용하여 현재에는 수준높은 와인을 생산함.), 5위 아르헨티나 (생산량이 많아 좋은 품질의 와인이 많지만 우리나라에서는 칠레(생산량 10위)에 비해 지명도가 낮아 상대적으로 좋은 품질의 와인을 싼가격에 구할 수 있음. 아르헨티나 와인 3만원대 = 프랑스 와인 10만원대 수준의 품질), 6위 호주, 7위 중국 (위구르 신장지역에서 생산. ), 8 9 10위 남아공 칠레 독일 (독일은 화이트 와인이 유명함. 그 중 리슬링이 대표적.)
프랑스 5만종, 이탈리아 20만종의 와인을 생산하며 동일한 연도에 생산된 같은 레이블의 와인도 맛이 모두 다름 또한 동일한 포도 품종이라도 토질이나 기후에 따라 다른 맛을 내며 포도 품종 또한 200종이 넘기 때문에 블라인드 테스트로 레이블을 알아내는 것은 불가능함.
와인 스피커라는 책을 보면 와인의 맛을 표현하는 말이 3만가지 가량이라고 함 결국 맛의 표현은 마음대로 해도 됨.
질감에 따른 표현을 우유를 예를 들때 저지방 우유/탈지유 = 라이트 바디, 우유 = 무겁지도 가볍지도 않은, 생크림 = 풀 바디.
추천 와인 : 이탈리아 북부 아토와디게 트렌티오 프리올리 화이트 와인.",0
Ep.01-2,맛집,부영각,탕수육,,서울,마포,용강동 494-61,02-716-2413,"허름한 예전 보다 확장 이전 후 맛이 변함.
쟁반 짜장 추천.",1
Ep.01-2,맛집,복성루,짬뽕,,전북,군산,미원동 332,063-445-8412,11시 ~ 16시 영업.,1
Ep.01-2,이 집에 가라,동화반점,팔보완자(빠빠완즈 공룡알),,서울,중,을지로6가 18-95,02-2265-9224,산미와 당도가 높지않은 화이트 와인(리슬링와인)을 차게 해 함께 하면 궁합이 좋음.,1
Ep.02,이 집에 가라,현대옥,해장국(콩나물),,전북,전주,완산구 전동3가 2-242,063-282-7214,"체인이되면서 원주인이 은퇴하고 점포를 넘겨줌. [Athom]
파 풋고추 등의 향신료를 국밥 나가기 전 손질해 주기를 부탁함. [걸신]",1
Ep.02,이 집에 가라,운암식당,해장국(콩나물),,전북,전주,완산구 전동3가 2-242 남부시장 2동 80호,063-286-1021,현대옥 맞은편. 현대옥이 체인이 된 이후 추천 맛집. [Athom],1
Ep.02,이 집에 가라,쌍둥이돼지국밥,국밥(돼지국밥),,부산,남,대연1동 887-1,051-628-7020,항정살 수육 사용.,1
Ep.02,맛집,성미당,비빔밥(전주비빔밥),,전북,전주,완산구 중앙동3가 31,063-287-8800,전주 주민은 이용하지 않음. 그냥 유명함. [Athom],1
Ep.02,맛집,고궁,비빔밥(전주비빔밥),,전북,전주,덕진구 덕진동2가 168-9,063-251-3211,전주 주민은 이용하지 않음. 그냥 유명함. [Athom],1
Ep.02,이 집에 가라,순자씨밥줘,비빔밥,,전북,전주,완산구 전동 295-4,063-282-2168,전주 비빔밥 스타일이 아닌 막비빔밥 스타일.  [Athom],1
Ep.02,이 집에 가라,천황식당,비빔밥(진주비빔밥),,경남,진주,대안동 4-1,055-741-2646,"100년 가량 운영된 집. 간장 base. 콩나물 대신 숙주를 사용. 소박하지만 친숙한 맛.
선지국이 따라나옴.
지역 음식화 되어 굳이 천황식당이 아니어도 인근 식당에서 유사한 맛을 볼 수 있음.",1
Ep.03,걸신의 레시피,,도빙무시(송이탕),가을,,,,,"고급 일식집에서 쓰끼다시로 제공.
주전자에 담겨와 접시에 가까운 아주 앝은 잔에 받아 마심.
송이와 생물 참돔 또는 감성돔을 얇게 썰어 바닥에 깔고 은행을 넣은 후 은근한 불에 우려냄.",0
Ep.03,걸신의 인문학,행복한 만찬,수필,,,,,,공선옥. 전라도 곡성 출신 작가.,0
Ep.03,맛집,마루가메제면,우동(사누키우동),,,,체인,,,0
Ep.03,맛집,겐로쿠우동,우동,,,,체인,,,0
Ep.03,이집에 가라,사누키진우동,"우동(가마우동, 냉우동)",,경기,성남,분당구 서현동 260-4,031-708-5999,,1
Ep.04-1,맛집,만성복집,복국(졸복국),,경남,통영,서호동 177-65,055-645-2140,"졸복국 7천원에서 11천원으로 변경.
아침 해장국으로 좋음.",1
Ep.04-1,맛집,원조시락국,시래기국,,경남,통영,서호동 177-408,055-646-5973,,1
Ep.04-1,맛집,삼오정,냉면(비빔냉면),,부산,부산진,부전2동 257-15,051-806-9540,,1
Ep.04-1,음식 인문학,미소복양평해장국,국밥(선지 해장국),,경기,고양,덕양구 용두동 432-215,02-353-5057,자극적이고 강한 맛.,1
Ep.04-1,음식 인문학,신내서울해장국,국밥(선지 해장국),,경기,양평,개군면 공세리 327-9,031-773-8001,양평 해장국의 원조.,1
Ep.04-1,음식 인문학,반룡산,국밥(가리국밥),,서울,강남,대치동 894-4,02-3446-8966,두부가 들어간 맑고 투명한 느낌. [최소영],1
Ep.04-1,음식 인문학,현대식당,국밥(수구레 국밥),,경남,창녕,창녕읍 1069-2 창녕시장,055-614-3314,"소의 가죽과 근육 사이의 부위로 끓이는 육개장 형태의 국밥.
창녕 장날(38일장)에만 영업 한다고 함.
그 외에는 아래 주소의 본점에서 영업함.",1
Ep.04-1,음식 인문학,현대식당,국밥(수구레 국밥),,대구,달성,현풍면 원교리 12,053-614-3314,,1
Ep.04-1,음식 인문학,대성집,도가니탕,,서울,종로,행촌동 209-35,02-734-4714,,1
Ep.04-1,음식 인문학,청진옥,국밥(선지 해장국),,서울,종로,종로1가 24,02-735-1690,2008년 현재 위치로 이전함.,1
Ep.04-2,맛집,CAFFE Rhea' 0306,빙수(눈꽃빙수),,경기,용인,풍덕천동 1080-9번지 하나로프라자 107호,031-272-6285,"팥이 따로 나오고 리필 가능.
사람이 많기 때문에 칠판에 이름과 인원수를 적어야 함.
오레오빙수는 비추.",1
Ep.04-2,맛집,キムラ屋 (키무라야),베이커리(단팥빵),,"東京都
(도쿄도)","中央区
(추오구)","銀座4-5-7
(긴자 4-5-7)",+81 3-3561-0091,"130년된 빵집. 빵과 팥 앙금이 모두 완벽한 팥빵.
http://www.kimuraya-sohonten.co.jp/",1
Ep.04-2,맛집,retro oven,베이커리(크로와상),,서울,강남,논현동 254-22 대부빌딩 1층,02-544-9045,,1
Ep.04-2,맛집,MonCher(몽슈슈),베이커리(도지마롤),,"大阪府
(오오사카부)","大阪市
(오오사카시)","北区堂島浜2-1-2
(키타구 도지마하마 2-1-2)",+81 6-6136-8003,"홋까이도에서 공수한 생유로 크림을 만듬.
http://www.mon-cher.com/",1
Ep.04-2,맛집,몽슈슈,베이커리(도지마롤),,서울,강남,압구정동 429,02-547-2233,현대백화점 지하,1
Ep.04-2,맛집,원조 할머니두부집,두부,,서울,종로,구기동 85-9,02-379-6276,이전 후 맛이 별로임.,1
Ep.04-2,맛집,토속 칼국수,두부,,서울,종로,신영동 10-15,02-379-1732,할머니 두부 이전 후 추천하는 집이 됨.,1
Ep.04-2,맛집,산울림,두부,,서울,종로,구기동 10-5,02-379-7084,서울시내 두부집 중 최고.,1
Ep.04-2,맛집,기와집순두부,두부,,경기,남양주,조안면 조안리 169-3,031-576-9009,"매우 혼잡함에도 불구하고 품질을 유지하고 있음.
강남 분점 존재.",1
Ep.04-2,맛집,복두부집,두부(두부부침),,경기,파주,탄현면 갈현리 654-12,031-945-8258,"두부 부침을 제대로된 들기름과 두꺼운 돌판에 구워냄.
수도권 내에서 손 꼽히는 맛집.",1
Ep.04-2,맛집,큰터손두부,두부,,강원,횡성,우천면 정금리 495-1,033-342-2667,,1
Ep.04-2,맛집,맛있는집,두부,,충남,청양,대치면 장곡리 215-5,041-943-8007,,1
Ep.04-2,이 집에 가라,주먹손두부,두부,,경기,광주,중부면 불당길 22-38,031-748-8636,,1
